ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10664974,HZ415712,09/01/2016 01:45:00 AM,019XX W MONTEREY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2212,022,19,75,14,1165742,1830843,2016,09/08/2016 03:48:43 PM,41.691413679,-87.668826246,"(41.691413679, -87.668826246)"
10664957,HZ415656,09/01/2016 01:50:00 AM,045XX S LAFLIN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0924,009,3,61,08B,1167095,1874719,2016,09/08/2016 03:48:43 PM,41.81178679,-87.662620522,"(41.81178679, -87.662620522)"
10664870,HZ415657,09/01/2016 01:50:00 AM,071XX S STATE ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,0323,003,6,69,04A,1177519,1857812,2016,09/08/2016 03:48:43 PM,41.765162688,-87.624896894,"(41.765162688, -87.624896894)"
10664931,HZ415667,09/01/2016 01:54:00 AM,045XX N MAGNOLIA AVE,2022,NARCOTICS,POSS: COCAINE,SIDEWALK,true,false,1913,019,46,3,18,1167103,1930181,2016,09/08/2016 03:48:43 PM,41.963978407,-87.660997249,"(41.963978407, -87.660997249)"
10666243,HZ416924,09/01/2016 02:00:00 AM,017XX W 17TH ST,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1234,012,25,31,08B,1164971,1891781,2016,09/08/2016 03:48:43 PM,41.858651903,-87.669927943,"(41.858651903, -87.669927943)"
10665640,HZ416262,09/01/2016 02:00:00 AM,036XX W POTOMAC AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,2535,025,26,23,03,1152048,1908414,2016,09/08/2016 03:48:43 PM,41.904558827,-87.716925474,"(41.904558827, -87.716925474)"
10665216,HZ415732,09/01/2016 02:00:00 AM,052XX S WOOD ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0932,009,16,61,07,1165236,1869917,2016,09/08/2016 03:48:43 PM,41.798649151,-87.669575295,"(41.798649151, -87.669575295)"
10665239,HZ415799,09/01/2016 02:05:00 AM,002XX E OHIO ST,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,true,false,1834,018,42,8,05,1177909,1904245,2016,09/27/2016 03:51:24 PM,41.892569681,-87.622058354,"(41.892569681, -87.622058354)"
10665022,HZ415709,09/01/2016 02:15:00 AM,063XX N CLARK ST,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,SIDEWALK,false,false,2433,024,40,77,03,1164499,1942016,2016,09/08/2016 03:48:43 PM,41.996509716,-87.670234472,"(41.996509716, -87.670234472)"
10664955,HZ415679,09/01/2016 02:30:00 AM,005XX N LECLAIRE AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,false,true,1532,015,28,25,04B,1142271,1903029,2016,09/08/2016 03:48:43 PM,41.889968929,-87.752973368,"(41.889968929, -87.752973368)"
10668226,HZ418576,09/01/2016 02:35:00 AM,006XX W MADISON ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,false,false,0121,001,42,28,11,1172208,1900286,2016,09/08/2016 03:48:43 PM,41.881833712,-87.643112572,"(41.881833712, -87.643112572)"
10664953,HZ415674,09/01/2016 02:35:00 AM,041XX S MOZART ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0921,009,14,58,06,1158043,1877163,2016,09/08/2016 03:48:43 PM,41.818682503,-87.69575656,"(41.818682503, -87.69575656)"
10665531,HZ415673,09/01/2016 02:40:00 AM,063XX N CLARK ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,false,false,2433,024,40,77,08B,1164475,1942207,2016,09/08/2016 03:48:43 PM,41.997034335,-87.670317317,"(41.997034335, -87.670317317)"
