tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
3385,6/1/2016 00:15:29,6/1/2016 01:11:55,3242,Schermerhorn St & Court St,40.69102925677968,-73.99183362722397,398,Atlantic Ave & Furman St,40.69165183,-73.9999786,23600,Customer,,0
1265,6/1/2016 00:15:35,6/1/2016 00:36:41,492,W 33 St & 7 Ave,40.75019995,-73.99093085,385,E 55 St & 2 Ave,40.75797322,-73.96603308,17175,Subscriber,1962,1
144,6/1/2016 00:16:09,6/1/2016 00:18:33,3071,Boerum St & Broadway,40.70538077,-73.94976519,3067,Broadway & Whipple St,40.7016657,-73.9437303,24247,Subscriber,1986,1
857,6/1/2016 00:18:35,6/1/2016 00:32:53,3156,E 72 St & York Ave,40.76663814,-73.95348296,352,W 56 St & 6 Ave,40.76340613,-73.97722479,24842,Subscriber,1977,1
226,6/1/2016 00:17:06,6/1/2016 00:20:53,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,251,Mott St & Prince St,40.72317958,-73.99480012,18696,Subscriber,1981,1
317,6/1/2016 00:17:12,6/1/2016 00:22:29,428,E 3 St & 1 Ave,40.72467721,-73.98783413,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,20790,Subscriber,1981,1
213,6/1/2016 00:17:14,6/1/2016 00:20:48,428,E 3 St & 1 Ave,40.72467721,-73.98783413,150,E 2 St & Avenue C,40.7208736,-73.98085795,19855,Subscriber,1995,1
551,6/1/2016 00:17:21,6/1/2016 00:26:33,434,9 Ave & W 18 St,40.74317449,-74.00366443,515,W 43 St & 10 Ave,40.76009437,-73.99461843,25000,Subscriber,1992,1
1273,6/1/2016 00:16:29,6/1/2016 00:37:42,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,146,Hudson St & Reade St,40.71625008,-74.0091059,22100,Customer,,0
1434,6/1/2016 00:16:40,6/1/2016 00:40:35,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,337,Old Slip & Front St,40.7037992,-74.00838676,16974,Subscriber,1993,1
358,6/1/2016 00:20:14,6/1/2016 00:26:12,3161,W 76 St & Columbus Ave,40.7801839724239,-73.97728532552719,3161,W 76 St & Columbus Ave,40.7801839724239,-73.97728532552719,20322,Subscriber,1982,1
676,6/1/2016 00:19:46,6/1/2016 00:31:03,312,Allen St & Stanton St,40.722055,-73.989111,487,E 20 St & FDR Drive,40.73314259,-73.97573881,20226,Subscriber,1988,1
1082,6/1/2016 00:17:45,6/1/2016 00:35:47,532,S 5 Pl & S 4 St,40.710451,-73.960876,250,Lafayette St & Jersey St,40.72456089,-73.99565293,22435,Subscriber,1988,1
2467,6/1/2016 00:18:50,6/1/2016 00:59:57,528,2 Ave & E 31 St,40.74290902,-73.97706058,3081,Graham Ave & Grand St,40.711863,-73.944024,24987,Subscriber,1973,1
455,6/1/2016 00:16:46,6/1/2016 00:24:22,3125,45 Rd & 11 St,40.74708586,-73.94977234,3116,Huron St & Franklin St,40.73266,-73.95826,16761,Subscriber,1977,1
341,6/1/2016 00:20:47,6/1/2016 00:26:29,302,Avenue D & E 3 St,40.72082834,-73.97793172,401,Allen St & Rivington St,40.72019576,-73.98997825,18351,Subscriber,1991,1
393,6/1/2016 00:17:26,6/1/2016 00:23:59,366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,243,Fulton St & Rockwell Pl,40.688226,-73.979382,15867,Subscriber,1988,1
534,6/1/2016 00:21:43,6/1/2016 00:30:37,428,E 3 St & 1 Ave,40.72467721,-73.98783413,487,E 20 St & FDR Drive,40.73314259,-73.97573881,17596,Subscriber,1984,1
1325,6/1/2016 00:22:06,6/1/2016 00:44:11,477,W 41 St & 8 Ave,40.75640548,-73.9900262,473,Rivington St & Chrystie St,40.72110063,-73.9919254,14903,Subscriber,1985,1
714,6/1/2016 00:22:09,6/1/2016 00:34:04,173,Broadway & W 49 St,40.76068327096592,-73.9845272898674,507,E 25 St & 2 Ave,40.73912601,-73.97973776,20098,Subscriber,1990,1
832,6/1/2016 00:22:12,6/1/2016 00:36:05,434,9 Ave & W 18 St,40.74317449,-74.00366443,447,8 Ave & W 52 St,40.76370739,-73.9851615,19160,Subscriber,1990,2
2142,6/1/2016 00:22:26,6/1/2016 00:58:08,445,E 10 St & Avenue A,40.72740794,-73.98142006,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,19305,Subscriber,,0
